Timestamp,Metric_M,Metric_V
2025-04-21 19:16:45,Idle: 61.8,"Temperature: 83.4, Frequency: 147471896964, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:46,Idle: 61.74,"Temperature: 84.0, Frequency: 146045825832, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:47,Idle: 61.68,"Temperature: 84.0, Frequency: 146045876612, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:49,Idle: 61.61,"Temperature: 84.0, Frequency: 146045825832, Voltage: 0.72, Throttling: 917510, Memory: 1020"
2025-04-21 19:16:50,Idle: 61.55,"Temperature: 84.0, Frequency: 146045813334, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:51,Idle: 61.49,"Temperature: 84.5, Frequency: 142908478276, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:52,Idle: 61.42,"Temperature: 83.4, Frequency: 147471896964, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:53,Idle: 61.36,"Temperature: 83.4, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:54,Idle: 61.3,"Temperature: 84.0, Frequency: 146045863510, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:55,Idle: 61.24,"Temperature: 83.4, Frequency: 147471935336, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:56,Idle: 61.18,"Temperature: 84.5, Frequency: 147471896964, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:57,Idle: 61.12,"Temperature: 84.5, Frequency: 142908530688, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:58,Idle: 61.06,"Temperature: 83.4, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:16:59,Idle: 61.0,"Temperature: 83.4, Frequency: 147471896964, Voltage: 0.72, Throttling: 917510, Memory: 1020"
2025-04-21 19:17:00,Idle: 60.93,"Temperature: 84.5, Frequency: 142908465778, Voltage: 0.72, Throttling: 917510, Memory: 1020"
2025-04-21 19:17:01,Idle: 60.87,"Temperature: 84.5, Frequency: 142908491776, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:02,Idle: 60.81,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:03,Idle: 60.75,"Temperature: 84.0, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:04,Idle: 60.69,"Temperature: 82.3, Frequency: 146045813334, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:05,Idle: 60.63,"Temperature: 84.5, Frequency: 142908465778, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:06,Idle: 60.57,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.72, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:07,Idle: 60.51,"Temperature: 84.0, Frequency: 142908478276, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:08,Idle: 60.45,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:09,Idle: 60.39,"Temperature: 82.3, Frequency: 147471896964, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:10,Idle: 60.33,"Temperature: 84.0, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:11,Idle: 60.27,"Temperature: 83.4, Frequency: 147471832150, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:12,Idle: 60.21,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:14,Idle: 60.15,"Temperature: 84.0, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:15,Idle: 60.09,"Temperature: 82.9, Frequency: 150609204584, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:16,Idle: 60.03,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:17,Idle: 59.98,"Temperature: 84.5, Frequency: 142908491776, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:18,Idle: 59.92,"Temperature: 84.0, Frequency: 146045761024, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:19,Idle: 59.86,"Temperature: 83.4, Frequency: 146045825832, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:20,Idle: 59.8,"Temperature: 84.5, Frequency: 142908426262, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:21,Idle: 59.74,"Temperature: 85.1, Frequency: 142908478276, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:22,Idle: 59.69,"Temperature: 84.0, Frequency: 142908478276, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:23,Idle: 59.63,"Temperature: 84.0, Frequency: 147471869828, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:24,Idle: 59.57,"Temperature: 84.0, Frequency: 146045798002, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:25,Idle: 59.51,"Temperature: 84.5, Frequency: 142908530688, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:26,Idle: 59.45,"Temperature: 84.5, Frequency: 142908530688, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:27,Idle: 59.4,"Temperature: 83.4, Frequency: 147471832150, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:28,Idle: 59.34,"Temperature: 84.5, Frequency: 147471832150, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:29,Idle: 59.28,"Temperature: 84.0, Frequency: 142908465778, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:30,Idle: 59.23,"Temperature: 84.0, Frequency: 146045876612, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
2025-04-21 19:17:31,Idle: 59.16,"Temperature: 84.5, Frequency: 142908426262, Voltage: 0.8404, Throttling: 917512, Memory: 1020"
